任务ID,股票代码,股票名称,所属方向,当日表现,核心逻辑浓缩,证据类型,舆情强度,情绪强度,兑现路径,验证点,负面触发,强度,状态分类,写入状态,写入时间,失败原因
1,301308,江波龙,存储芯片,未提供,半年净利润92-110亿元同比暴增62204%-74394%，A股唯一覆盖全球八大存储原厂的存储模组龙头,业绩公告;研报观点,强,未体现,业绩/涨价,中报正式披露，三星Q3 DRAM提价落地,无,S,利好,未写入,,
2,603986,兆易创新,存储芯片,未提供,NOR Flash全球第三，战略持股长鑫存储1.88%，全系列存储产品订单排期至2027年,研报观点;产业链映射,强,未体现,长鑫上市/国产替代,长鑫存储上市进度,无,A,利好,未写入,,
3,600584,长电科技,先进封装/存储,未提供,全球第三封测龙头，存储封测订单锁定至2027年，深度配套长鑫存储晶圆封测需求,研报观点;订单,强,未体现,产能/订单,存储封测订单季度确认,无,A,利好,未写入,,
4,002916,深南电路,存储/封装基板,未提供,国内高端封装基板龙头，华为和长鑫核心配套供应商，存储板块订单锁定至2028年,研报观点;订单,中,未体现,产能/订单,存储基板出货量跟踪,无,A,利好,未写入,,
5,688008,澜起科技,存储芯片,未提供,DDR5内存接口芯片全球绝对龙头，长鑫存储DRAM配套唯一国产接口芯片供应商，单台AI服务器搭载多颗,研报观点;产业链映射,中,未体现,产能/订单,AI服务器出货量;DDR5渗透率,无,A,利好,未写入,,
6,688525,佰维存储,存储芯片,未提供,长鑫存储第一大NAND闪存采购客户，全品类存储订单排产至2027年，AI终端+车载+工控全覆盖,研报观点;订单,中,未体现,订单/产能,存储价格走势;订单执行进度,无,A,利好,未写入,,
7,002156,通富微电,先进封装/存储,未提供,国内少数具备HBM高带宽内存量产封装能力的内资厂商，存储相关在手订单约120亿元排产至2027年,研报观点;订单,中,未体现,产能/订单,HBM封装订单季度确认,无,A,利好,未写入,,
8,000021,深科技,存储封测,未提供,国内最大独立DRAM封测服务商，旗下沛顿科技承接长鑫60%-70%委外封测订单,研报观点;订单,中,未体现,订单/产能,长鑫委外封测比例变化,无,A,利好,未写入,,
9,001309,德明利,存储芯片,未提供,国产SSD主控前三，主控芯片供货国内大量存储模组厂商，订单排产至2026年底,研报观点,弱,未体现,订单,国产SSD主控市场份额变化,无,B,利好,未写入,,
10,688041,海光信息,AI算力/CPU,未提供,国产CPU龙头，Intel服务器CPU涨价10-12%驱动国产替代加速，CPU进入涨价周期最直接受益标的,研报观点;涨价,强,未体现,国产替代/涨价,Q3国产CPU导入节奏观察,无,S,利好,未写入,,
