任务ID,股票代码,股票名称,所属方向,当日表现,核心逻辑浓缩,证据类型,舆情强度,情绪强度,兑现路径,验证点,负面触发,强度,状态分类,写入状态,写入时间,失败原因
ID-20260706-1,002850,科达利,人形机器人,未提供,主业高增+低估值+谐波减速器已实质进展，物理AI布局打开空间，特斯拉T链核心供应商，高确定性,研报观点,强,中,产能/客户,特斯拉Q3量产进度;谐波减速器订单落地,无,A,利好,未写入,,
ID-20260706-2,688279,峰岹科技,人形机器人,未提供,主业受益AI高增，绑定特斯拉T链T1空心杯电机，自研传感器深度布局机器人，近日客户端突破有望获订单提升ASP,研报观点,中,中,客户/订单,空心杯电机客户突破公告;传感器产品送样验证,无,A,利好,未写入,,
ID-20260706-3,300969,恒帅股份,人形机器人,未提供,T链机器人电机稀缺标的，卡位特斯拉Optimus电机供应，受益机器人量产拉动需求,研报观点,中,弱,产能/客户,特斯拉Optimus电机定点确认,无,B,观察,未写入,,
ID-20260706-4,002050,三花智控,人形机器人,未提供,机器人总成环节龙头，T链核心供应商，受益Optimus规模化量产量价齐升,研报观点;行业新闻,强,中,产能/客户,Optimus周产爬坡至100台验证,无,A,利好,未写入,,
ID-20260706-5,601100,恒立液压,人形机器人,未提供,人形机器人丝杠核心供应商，T链确定性标的，受益丝杠ASP提升与放量,研报观点,中,弱,产能/客户,丝杠产品送样或量产定点,无,B,观察,未写入,,
ID-20260706-6,300115,长盈精密,人形机器人,未提供,机器人内部结构件供应商，与科达利共同卡位身体内部复杂结构件，受益Optimus量产,研报观点,中,弱,产能/客户,结构件订单落地,无,B,观察,未写入,,
ID-20260706-7,603730,岱美股份,人形机器人,未提供,电子皮肤弹性标的，格局未定环节，若特斯拉机器人采用电子皮肤方案则弹性极大,研报观点,弱,弱,客户/事件,电子皮肤方案是否被采用,仅送样,C,观察,未写入,,
ID-20260706-8,301413,安培龙,人形机器人,未提供,六维力传感器弹性标的，格局未定环节，受益机器人传感器需求增长,研报观点,弱,弱,客户/事件,六维力传感器送样或订单,仅送样,C,观察,未写入,,
ID-20260706-9,688017,绿的谐波,人形机器人,未提供,谐波减速器龙头，与斯凯孚合资成立子公司全球化布局再下一城，T链+国产链双受益,公告;研报观点,强,中,客户/产能,合资公司进展;Optimus谐波减速器订单,无,A,利好,未写入,,
ID-20260706-10,603009,北特科技,人形机器人,未提供,中泰机械T链首选标的，受益特斯拉Optimus量产拉动，机器人零部件核心供应商,研报观点,中,中,客户/产能,T链订单进展,无,B,观察,未写入,,
ID-20260706-11,301550,斯菱智驱,人形机器人,未提供,T链确定性标的，机器人智驱零部件供应商，受益Optimus周产爬坡,研报观点,中,弱,产能/客户,Optimus周产100台验证,无,B,观察,未写入,,
