股票代码,股票名称,所属方向,当日表现,核心逻辑浓缩,证据类型,舆情强度,情绪强度,兑现路径,验证点,负面触发,强度,状态分类
301308,江波龙,存储芯片/半导体景气,未提供,半年报净利92-110亿同比增622-744倍；存储景气+自研SPU主控+HLC软件+端侧AI+AMD联合调优,业绩预告,强,强,业绩/产能/客户,存储报价延续性；端侧AI订单落地,无,S,利好
001287,中电港,存储芯片/半导体景气,未提供,半年报净利+176%-193%；存储器涨价+AI算力需求强劲；电子元器件分销龙头,业绩预告,强,强,涨价/订单,存储器价格趋势；AI订单持续性,无,A,利好
301369,联动科技,存储芯片/半导体景气,未提供,1000万美元收购存储ATE标的，核心团队源自泰瑞达，填补存储测试缺口,公告/收购,中,弱,事件/并购,收购交割进展；标的业绩,无,B,利好
603986,兆易创新,存储芯片/半导体景气,未提供,NOR Flash/DRAM龙头，存储涨价周期直接受益,映射补全,强,未体现,涨价/产能,存储报价,无,A,观察
300223,北京君正,存储芯片/半导体景气,未提供,存储芯片(SRAM/DRAM)+车规级芯片，存储景气受益,映射补全,中,未体现,涨价/产能,存储报价；车规订单,无,B,观察
688008,澜起科技,存储芯片/半导体景气,未提供,内存接口芯片龙头，DDR5渗透率提升受益存储升级,映射补全,中,未体现,产能/业绩,DDR5渗透率数据,无,B,观察
002938,鹏鼎控股,AI算力/服务器硬件,未提供,定增96亿扩AI服务器+高速光模块HDI；新增65.56万㎡高阶HDI年产能；总投资127.3亿,公告/定增,强,强,产能/订单,定增获批进度；客户导入,无,A,利好
000034,神州数码,AI算力/服务器硬件,未提供,中标国有大行3.71亿华为智算服务器(神州鲲泰超节点)；信创+AI算力双驱动,公告/中标,强,强,订单/业绩,正式合同签署；交付进度,无,A,利好
300853,申昊科技,AI算力/服务器硬件,未提供,拟不超20亿采购服务器做算力租赁；从工业机器人向具身智能服务商转型,公告/投资,强,中,订单/事件,采购合同签署；客户拓展,无,B,利好
002916,深南电路,AI算力/服务器硬件,未提供,PCB/HDI龙头，AI服务器板核心供应商,映射补全,中,未体现,订单/产能,AI服务器PCB订单,无,B,观察
002463,沪电股份,AI算力/服务器硬件,未提供,高多层PCB龙头，AI服务器+交换机PCB核心供应商,映射补全,中,未体现,订单/产能,AI服务器PCB订单,无,B,观察
600183,生益科技,AI算力/服务器硬件,未提供,CCL覆铜板龙头，AI服务器PCB上游材料,映射补全,中,未体现,涨价/订单,CCL价格趋势,无,B,观察
002261,拓维信息,AI算力/服务器硬件,未提供,华为昇腾生态合作伙伴，国产算力服务器,映射补全,中,未体现,订单/政策,国产算力政策,无,B,观察
603618,杭电股份,光纤光缆复苏,未提供,半年报净利+852%-958%；光纤光缆市场回暖量价齐升；子公司杭州永特光纤销量同步增长,业绩预告,中,中,涨价/订单,光纤价格趋势；Q3订单,无,A,利好
601869,长飞光纤,光纤光缆复苏,未提供,光纤光缆全球龙头，行业复苏直接受益,映射补全,中,未体现,涨价/产能,光纤报价；运营商集采,无,A,观察
600487,亨通光电,光纤光缆复苏,未提供,光纤光缆+海洋通信，行业回暖受益,映射补全,中,未体现,涨价/订单,光纤报价,无,B,观察
600522,中天科技,光纤光缆复苏,未提供,光纤光缆+海缆+储能，多元化受益,映射补全,中,未体现,涨价/订单,光纤报价；海缆订单,无,B,观察
300821,东岳硅材,有机硅/化工涨价,未提供,半年报净利+905%-952%；有机硅涨价+原材料降价；毛利率双升,业绩预告,中,中,涨价/产能,有机硅DMC报价；Q3趋势,无,A,利好
603260,合盛硅业,有机硅/化工涨价,未提供,有机硅+工业硅一体化龙头，涨价周期弹性最大,映射补全,中,未体现,涨价/产能,有机硅报价,无,B,观察
600596,新安股份,有机硅/化工涨价,未提供,有机硅+草甘膦双主业，涨价受益,映射补全,弱,未体现,涨价/产能,有机硅报价,无,B,观察
000060,中金岭南,有色金属涨价,未提供,半年报净利+88%-115%；铅锌铜等金属涨价+金融资产公允价值收益,业绩预告,中,中,涨价/业绩,铅锌铜价格趋势,无,B,利好
000630,铜陵有色,有色金属涨价,未提供,铜冶炼龙头，铜价高位受益,映射补全,中,未体现,涨价/产能,铜价趋势,无,B,观察
600362,江西铜业,有色金属涨价,未提供,铜业龙头，矿产+冶炼双驱动,映射补全,中,未体现,涨价/产能,铜价趋势,无,B,观察
600458,时代新材,新能源/风电/储能,未提供,Q2风电叶片合同30.34亿(海2.39+陆24.71+海外3.24亿)；海陆并举,公告/订单,中,中,订单/业绩,Q3交货进度；收入确认,无,B,利好
