任务ID,股票代码,股票名称,所属方向,当日表现,核心逻辑浓缩,证据类型,舆情强度,情绪强度,兑现路径,验证点,负面触发,强度,状态分类,写入状态,写入时间,失败原因
ID-20260706-1,002050,三花智控,机器人-特斯拉量产链,未提供,特斯拉Optimus量产核心供应商，7月产线搭建完成进入爬坡,机构研报；新闻资讯,强,强,订单/量产,特斯拉7月周产爬坡至100-200台验证,无,A,利好,未写入,,
ID-20260706-2,301525,儒竞科技,机器人-特斯拉量产链,未提供,T链机器人驱控单台价值量约1万元，Q4规模供应。数据中心变频器+HVDC电源双轮驱动,个股分析,中,中,订单/量产,Q4对T规模供应验证,无,A,利好,未写入,,
ID-20260706-3,603009,北特科技,机器人-特斯拉量产链,未提供,特斯拉Optimus量产核心供应商，7月产线搭建完成进入爬坡,机构研报；新闻资讯,强,强,订单/量产,特斯拉7月周产爬坡至100-200台验证,无,A,利好,未写入,,
ID-20260706-4,688322,奥比中光,机器人-特斯拉量产链,未提供,特斯拉Optimus量产核心供应商，7月产线搭建完成进入爬坡,机构研报；新闻资讯,强,强,订单/量产,特斯拉7月周产爬坡至100-200台验证,无,A,利好,未写入,,
ID-20260706-5,301225,恒勃股份,机器人-特斯拉量产链,未提供,特斯拉Optimus量产核心供应商，7月产线搭建完成进入爬坡,机构研报；新闻资讯,强,强,订单/量产,特斯拉7月周产爬坡至100-200台验证,无,A,利好,未写入,,
ID-20260706-6,300969,恒帅股份,机器人-特斯拉量产链,未提供,特斯拉Optimus量产核心供应商，7月产线搭建完成进入爬坡,机构研报；新闻资讯,强,强,订单/量产,特斯拉7月周产爬坡至100-200台验证,无,A,利好,未写入,,
ID-20260706-7,601100,恒立液压,机器人-特斯拉量产链,未提供,特斯拉Optimus量产核心供应商，7月产线搭建完成进入爬坡,机构研报；新闻资讯,强,强,订单/量产,特斯拉7月周产爬坡至100-200台验证,无,A,利好,未写入,,
ID-20260706-8,601689,拓普集团,机器人-特斯拉量产链,未提供,特斯拉Optimus量产核心供应商，7月产线搭建完成进入爬坡,机构研报；新闻资讯,强,强,订单/量产,特斯拉7月周产爬坡至100-200台验证,无,A,利好,未写入,,
ID-20260706-9,603119,浙江荣泰,机器人-特斯拉量产链,未提供,特斯拉Optimus量产核心供应商，7月产线搭建完成进入爬坡,机构研报；新闻资讯,强,强,订单/量产,特斯拉7月周产爬坡至100-200台验证,无,A,利好,未写入,,
ID-20260706-10,605488,福莱新材,机器人-特斯拉量产链,未提供,特斯拉Optimus量产核心供应商，7月产线搭建完成进入爬坡,机构研报；新闻资讯,强,强,订单/量产,特斯拉7月周产爬坡至100-200台验证,无,A,利好,未写入,,
ID-20260706-11,002850,科达利,机器人-特斯拉量产链,未提供,特斯拉Optimus量产核心供应商，7月产线搭建完成进入爬坡,机构研报；新闻资讯,强,强,订单/量产,特斯拉7月周产爬坡至100-200台验证,无,A,利好,未写入,,
ID-20260706-12,002931,锋龙股份,机器人-特斯拉量产链,未提供,特斯拉Optimus量产核心供应商，7月产线搭建完成进入爬坡,机构研报；新闻资讯,强,强,订单/量产,特斯拉7月周产爬坡至100-200台验证,无,A,利好,未写入,,
ID-20260706-13,688981,中芯国际,半导体-华为韬定律,未提供,先进制程+3D封装核心代工厂，麒麟2026性能提升53.5%直接受益,新闻资讯；机构研报,强,强,政策/量产,9月麒麟2026旗舰手机发布验证,无,A,利好,未写入,,
ID-20260706-14,688372,伟测科技,半导体-华为韬定律,未提供,芯片测试,新闻资讯；机构研报,强,强,政策/量产,9月麒麟2026旗舰手机发布验证,无,A,利好,未写入,,
ID-20260706-15,301269,华大九天,半导体-华为韬定律,未提供,EDA工具,新闻资讯；机构研报,强,强,政策/量产,9月麒麟2026旗舰手机发布验证,无,A,利好,未写入,,
ID-20260706-16,688120,华海清科,半导体-华为韬定律,未提供,混合键合设备,新闻资讯；机构研报,强,强,政策/量产,9月麒麟2026旗舰手机发布验证,无,A,利好,未写入,,
ID-20260706-17,688347,华虹半导体,半导体-华为韬定律,未提供,先进制程制造,新闻资讯；机构研报,强,强,政策/量产,9月麒麟2026旗舰手机发布验证,无,A,利好,未写入,,
ID-20260706-18,688072,拓荆科技,半导体-华为韬定律,未提供,混合键合设备,新闻资讯；机构研报,强,强,政策/量产,9月麒麟2026旗舰手机发布验证,无,A,利好,未写入,,
ID-20260706-19,688403,汇成股份,半导体-华为韬定律,未提供,2.5D封装,新闻资讯；机构研报,强,强,政策/量产,9月麒麟2026旗舰手机发布验证,无,A,利好,未写入,,
ID-20260706-20,688498,源杰科技,半导体-华为韬定律,未提供,光芯片-全光互联,新闻资讯；机构研报,强,强,政策/量产,9月麒麟2026旗舰手机发布验证,无,A,利好,未写入,,
ID-20260706-21,688362,甬矽电子,半导体-华为韬定律,未提供,2.5D封装,新闻资讯；机构研报,强,强,政策/量产,9月麒麟2026旗舰手机发布验证,无,A,利好,未写入,,
