任务ID,股票代码,股票名称,所属方向,当日表现,核心逻辑浓缩,证据类型,舆情强度,情绪强度,兑现路径,验证点,负面触发,强度,状态分类,写入状态,写入时间,失败原因
ID-20260706-1,603618,杭电股份,光纤光缆/业绩预增,未提供,H1归母3.6-4亿，同比增852%-958%，光纤光缆量价齐升,业绩公告,强,强,光纤涨价/业绩,周一盘面反馈,无,S,利好,未写入,,
ID-20260706-2,301308,江波龙,存储/业绩预增,未提供,H1归母92-110亿，同比增62204%-74394%，存储模组龙头业绩爆发,业绩公告,强,强,存储涨价/业绩,周一盘面反馈,无,S,利好,未写入,,
ID-20260706-3,002050,三花智控,机器人/总成,未提供,T链机器人总成核心标的，格局已定核心环节,研报推荐,强,中,总成订单,量产爬坡,无,A,利好,未写入,,
ID-20260706-4,002384,东山精密,芯片/光互联+PCB,未提供,光芯片10倍利好判断者+PCB龙头，韬定律系统层受益,研报推荐；卖方强call,强,中,光互联/PCB/载板,订单/业绩,无,A,利好,未写入,,
ID-20260706-5,688525,佰维存储,存储/模组,未提供,长鑫第一大NAND采购客户+嵌入式存储龙头，订单至2027,研报推荐/长鑫上市催化,中,中,存储模组订单,长鑫上市进度,无,A,利好,未写入,,
ID-20260706-6,603986,兆易创新,存储/NOR Flash,未提供,NOR Flash全球第三+持股长鑫1.88%，订单至2027,研报推荐/长鑫上市催化,强,中,NOR Flash/DRAM,长鑫上市进度,无,A,利好,未写入,,
ID-20260706-7,002371,北方华创,芯片/半导体设备,未提供,国内半导体设备龙头，存储扩产受益,研报推荐,强,中,设备订单,业绩,无,A,利好,未写入,,
ID-20260706-8,601100,恒立液压,机器人/丝杠,未提供,T链丝杠核心+主业王者基因，标配绝代双骄之一,研报强call,强,中,丝杠订单,量产验证,无,A,利好,未写入,,
ID-20260706-9,601689,拓普集团,机器人/总成,未提供,T链机器人总成标的，空间更大,研报推荐,强,中,总成订单,量产验证,无,A,利好,未写入,,
ID-20260706-10,603211,晋拓股份,机器人/宇树链,未提供,唯一与宇树绑定成立合资公司，宇树IPO核心受益,研报推荐/宇树IPO,强,强,宇树量产订单,宇树IPO进展,无,A,利好,未写入,,
ID-20260706-11,002916,深南电路,存储/封装基板,未提供,高端封装基板龙头，存储订单锁定至2028年,研报推荐/长鑫上市催化,中,中,封装基板订单,订单兑现,无,A,利好,未写入,,
ID-20260706-12,000021,深科技,存储/封测,未提供,沛顿承接长鑫60-70%委外封测+全球希捷磁头独家供应,研报推荐/长鑫上市催化,中,中,封测订单,长鑫上市进度,无,A,利好,未写入,,
ID-20260706-13,688008,澜起科技,芯片/内存接口,未提供,韬定律超节点+DDR5内存接口龙头，长鑫存储配套,研报推荐,中,中,DDR5/接口芯片,订单,无,A,利好,未写入,,
ID-20260706-14,002850,科达利,机器人/谐波减速器+结构件,未提供,主业高增+低估值+谐波减速器实质进展，T链核心,研报强call,强,强,谐波减速器/T链订单,三季度量产验证,无,A,利好,未写入,,
ID-20260706-15,688017,绿的谐波,机器人/谐波减速器,未提供,与斯凯孚合资子公司，全球化布局再下一城,公告/研报,强,强,谐波减速器订单,合资进展,无,A,利好,未写入,,
ID-20260706-16,600584,长电科技,芯片/先进封装,未提供,先进封装龙头，韬定律V2芯片层六大封装标的之一,研报推荐；公告,强,中,先进封装产能,封装订单,无,A,利好,未写入,,
ID-20260706-17,688981,中芯国际,芯片/先进制程,未提供,韬定律V2先进制程方向明确受益，制程路标同步给出,研报推荐,强,中,先进制程产能,先进制程进展,无,A,观察,未写入,,
ID-20260706-18,300408,三环集团,电容/MLCC,未提供,MLCC龙头+SOFC受益,研报推荐,中,弱,MLCC订单,验证,无,B,观察,未写入,,
ID-20260706-19,000063,中兴通讯,AI/数据中心交换机,未提供,AI数据中心交换机是AI集群隐形瓶颈，二季度业绩翻倍,行业研报,中,弱,交换机订单,业绩验证,无,B,观察,未写入,,
ID-20260706-20,688012,中微公司,芯片/半导体设备,未提供,刻蚀设备龙头，存储扩产受益,研报推荐,中,中,设备订单,业绩,无,B,观察,未写入,,
ID-20260706-21,002428,云南锗业,商业航天/太空光伏,未提供,光伏级锗衬底全球市占超70%，卫星组网核心材料,研报推荐,中,中,卫星组网放量,组网订单,无,B,观察,未写入,,
ID-20260706-22,301525,儒竞科技,机器人/驱控,未提供,T链机器人驱控，Q4规模供应，单台价值约1万,研报推荐,中,中,驱控订单,Q4规模供应验证,无,B,观察,未写入,,
ID-20260706-23,002281,光迅科技,芯片/光芯片,未提供,韬定律V2光互联方向光芯片标的,研报推荐,中,中,光模块/光芯片,订单,无,B,观察,未写入,,
ID-20260706-24,603009,北特科技,机器人/丝杠,未提供,T链首选标的，大小丝杠均下订单，海外建厂,研报强call,中,中,丝杠订单,量产验证,无,B,观察,未写入,,
ID-20260706-25,301269,华大九天,芯片/EDA,未提供,韬定律V2电路层EDA工具第三方优化提供商,研报推荐,中,弱,EDA国产替代,EDA订单,无,B,观察,未写入,,
ID-20260706-26,002185,华天科技,芯片/先进封装,未提供,先进封装六大标的之一,研报推荐,中,弱,先进封装,订单进展,无,B,观察,未写入,,
ID-20260706-27,688347,华虹公司,芯片/先进制程,未提供,韬定律V2先进制程方向受益标的,研报推荐,中,弱,先进制程,制程进展,无,B,观察,未写入,,
ID-20260706-28,688322,奥比中光,机器人/视觉,未提供,T链视觉国内唯一，格局非常好,研报推荐,中,中,视觉订单,量产验证,无,B,观察,未写入,,
ID-20260706-29,300738,奥飞数据,AI/AIDC,未提供,AIDC稳增长标杆，算力交付进入集中兑现期，深度绑定头部云厂商,个股研报,中,弱,算力机柜交付,季度业绩验证,无,B,观察,未写入,,
ID-20260706-30,688279,峰岹科技,机器人/电机驱动,未提供,绑定T链T1空心杯电机+自研传感器，客户端突破,研报强call,中,中,电机订单,客户突破验证,无,B,观察,未写入,,
ID-20260706-31,001309,德明利,存储/主控,未提供,国产SSD主控龙头，国内前三，订单至2026年底,研报推荐/长鑫上市催化,中,中,主控芯片订单,订单兑现,无,B,观察,未写入,,
ID-20260706-32,300969,恒帅股份,机器人/电机,未提供,T链机器人电机稀缺标的，手部型号拿全,研报推荐,中,中,电机订单,量产验证,无,B,观察,未写入,,
ID-20260706-33,688072,拓荆科技,芯片/半导体设备,未提供,薄膜沉积设备，存储扩产受益,研报推荐,中,弱,设备订单,业绩,无,B,观察,未写入,,
ID-20260706-34,688141,杰华特,芯片/电源DrMOS,未提供,DrMOS AI敞口最高，三次电源扩容受益,研报推荐,中,弱,DrMOS订单,验证,无,B,观察,未写入,,
ID-20260706-35,600105,永鼎股份,光纤光缆,未提供,周末热门业绩公告股之一，光纤光缆行业景气受益,业绩公告/映射,中,中,光纤光缆,业绩确认,无,B,观察,未写入,,
ID-20260706-36,300666,江丰电子,芯片/先进封装,未提供,韬定律V2晶体管层半导体材料核心受益,研报推荐,中,中,先进制程/材料,韬定律后续落地,无,B,观察,未写入,,
ID-20260706-37,002484,江海股份,电容/铝电解+超容,未提供,铝电解&超容&MLPC龙头，服务器电源深度受益,研报推荐/个股研报,中,中,超容订单/MLPC,业绩验证,无,B,观察,未写入,,
ID-20260706-38,603773,沃格光电,芯片/玻璃基板,未提供,玻璃基板是先进封装新方向，三星+住友加码催化产业链关注,行业新闻/映射,中,弱,玻璃基板产品,客户认证,无,B,观察,未写入,,
ID-20260706-39,603119,浙江荣泰,机器人/丝杠,未提供,T链丝杠标的，大小丝杠均下订单,研报推荐,中,弱,丝杠订单,量产验证,无,B,观察,未写入,,
ID-20260706-40,688498,源杰科技,芯片/光芯片,未提供,韬定律V2光互联方向光芯片标的,研报推荐,中,中,光芯片/硅光,光芯片订单,无,B,观察,未写入,,
ID-20260706-41,600183,生益科技,存储/覆铜板,未提供,全球覆铜板龙头，存储封装基板上游核心基材,研报推荐,中,弱,覆铜板订单,订单兑现,无,B,观察,未写入,,
ID-20260706-42,002475,立讯精密,消费电子/折叠屏,未提供,苹果折叠屏备货超预期翻倍，折叠屏产业链结构性机会,行业新闻/映射,中,弱,折叠屏订单,备货验证,无,B,观察,未写入,,
ID-20260706-43,603698,航天工程,商业航天/火箭配套,未提供,航天一院唯一A股上市平台，存在资产注入预期,研报推荐,中,中,资产注入/配套,长十乙催化,无,B,观察,未写入,,
ID-20260706-44,688037,芯源微,芯片/半导体设备,未提供,韬定律V2电路层EDA+先进封装设备双受益,研报推荐,中,弱,半导体设备,设备订单,无,B,观察,未写入,,
ID-20260706-45,603259,药明康德,医药/CXO,未提供,CXO行业内外需求共振，边际向好+创新药政策催化,行业研报,中,弱,订单/政策,业绩验证,无,B,观察,未写入,,
ID-20260706-46,300456,赛微电子,芯片/散热,未提供,硅基微通道液冷可配套华为韬定律，国内唯一可量产,个股研报/映射,中,中,微通道液冷订单,华为验证进度,仅小批量试制,B,观察,未写入,,
ID-20260706-47,002460,赣锋锂业,锂电/碳酸锂,未提供,美国国防部碳酸锂战略收储，五年1.62万吨，行业底部催化,行业新闻/映射,中,弱,锂盐订单,收储招标进展,无,B,观察,未写入,,
ID-20260706-48,002156,通富微电,芯片/先进封装,未提供,先进封装六大标的之一+HBM封装能力,研报推荐,中,中,HBM封装/先进封装,订单兑现,无,B,观察,未写入,,
ID-20260706-49,301217,铜冠铜箔,PCB/铜箔,未提供,绑定Rubin的二代布和HVLP3-4，三季度锐度最高,研报推荐,中,中,铜箔涨价/订单,业绩,无,B,观察,未写入,,
ID-20260706-50,301165,锐捷网络,芯片/数据中心交换机,未提供,韬定律V2超节点方向+AI数据中心交换机受益,研报推荐,中,弱,数据中心交换机,业绩,无,B,观察,未写入,,
ID-20260706-51,300115,长盈精密,机器人/结构件,未提供,T链机器人结构件（身体内部复杂件）,研报推荐,中,弱,结构件订单,量产验证,无,B,观察,未写入,,
ID-20260706-52,002138,顺络电子,电容/钽电容,未提供,钽电容龙头，AI服务器电容受益,研报推荐,中,弱,电容订单,验证,无,B,观察,未写入,,
ID-20260706-53,301232,飞沃科技,商业航天/火箭发动机,未提供,液体火箭发动机3D打印零部件核心卡位，三重增量逻辑,研报推荐,中,中,火箭发动机订单,长十乙试飞,无,B,观察,未写入,,
ID-20260706-54,603728,鸣志电器,机器人/电机,未提供,T链机器人电机标的,研报推荐,中,弱,电机订单,量产验证,无,B,观察,未写入,,
ID-20260706-55,002851,麦格米特,电源,未提供,AI服务器电源标的,研报推荐,中,弱,电源订单,验证,无,B,观察,未写入,,
ID-20260706-56,688110,东芯股份,存储/利基,未提供,利基存储标的,研报推荐,弱,弱,利基存储,验证,无,C,观察,未写入,,
ID-20260706-57,300814,中富电路,PCB/载板,未提供,载板类标的，供不应求价格弹性,研报推荐,弱,弱,载板订单,验证,无,C,观察,未写入,,
ID-20260706-58,002885,京泉华,SOFC/电源,未提供,SOFC方向受益标的,研报推荐,弱,弱,SOFC,验证,无,C,观察,未写入,,
ID-20260706-59,未提供,信科移动,商业航天/通信映射,未提供,卫星通信地面设备映射标的,映射补全,弱,弱,卫星通信,验证,无,C,观察,未写入,,
ID-20260706-60,002436,兴森科技,PCB/载板,未提供,载板+类载板标的，国产化0-1渗透,研报推荐,弱,弱,载板订单,验证,无,C,观察,未写入,,
ID-20260706-61,未提供,凯迪股份,机器人/T链+NV链映射,未提供,T链+NV链双映射标的,映射补全,弱,弱,双链配套,验证,无,C,观察,未写入,,
ID-20260706-62,300223,北京君正,存储/利基,未提供,利基存储标的,研报推荐,弱,弱,利基存储,验证,无,C,观察,未写入,,
ID-20260706-63,603186,华正新材,PCB/ABF膜,未提供,ABF膜标的，明年锐度最高方向,研报推荐,弱,弱,ABF膜,验证,无,C,观察,未写入,,
ID-20260706-64,688120,华海清科,芯片/半导体设备,未提供,CMP设备龙头，存储扩产受益,研报推荐,弱,弱,设备订单,业绩,无,C,观察,未写入,,
ID-20260706-65,未提供,国博电子,商业航天/射频映射,未提供,商业航天射频组件映射标的,映射补全,弱,弱,射频组件,验证,无,C,观察,未写入,,
ID-20260706-66,002466,天齐锂业,锂电/碳酸锂,未提供,美国碳酸锂战略收储催化，行业龙头受益,行业新闻/映射,中,弱,锂盐,收储进展,无,C,观察,未写入,,
ID-20260706-67,未提供,安培龙,机器人/六维力映射,未提供,T链六维力传感器弹性标的映射,映射补全,弱,弱,传感器订单,验证,无,C,观察,未写入,,
ID-20260706-68,688409,富创精密,芯片/零部件,未提供,半导体零部件标的,研报推荐,弱,弱,零部件订单,验证,无,C,观察,未写入,,
ID-20260706-69,未提供,岱美股份,机器人/电子皮肤映射,未提供,T链电子皮肤弹性标的映射,映射补全,弱,弱,电子皮肤订单,验证,无,C,观察,未写入,,
ID-20260706-70,未提供,广联航空,商业航天/航空配套映射,未提供,商业航天航空结构件映射标的,映射补全,弱,弱,结构件,验证,无,C,观察,未写入,,
ID-20260706-71,300759,康龙化成,医药/CXO,未提供,CXO行业受益创新药产业链估值修复,行业研报,弱,弱,CXO订单,业绩,无,C,观察,未写入,,
ID-20260706-72,未提供,恒勃股份,机器人/PEEK映射,未提供,T链PEEK运动型功能件映射标的,映射补全,弱,弱,PEEK材料,验证,无,C,观察,未写入,,
ID-20260706-73,688416,恒烁股份,存储/利基,未提供,利基存储标的,研报推荐,弱,弱,利基存储,验证,无,C,观察,未写入,,
ID-20260706-74,688707,振华股份,SOFC/燃料电池,未提供,SOFC方向BE供应链弹性最大标的,研报推荐,弱,弱,SOFC订单,验证,无,C,观察,未写入,,
ID-20260706-75,未提供,斯菱智驱,机器人/T链映射,未提供,T链机器人产业链映射标的,映射补全,中,弱,T链订单,量产验证,无,C,观察,未写入,,
ID-20260706-76,未提供,新泉股份,机器人/T链映射,未提供,T链机器人产业链映射标的,映射补全,弱,弱,T链配套,验证,无,C,观察,未写入,,
ID-20260706-77,688020,方邦股份,PCB/载体铜箔,未提供,载体铜箔标的，明年锐度最高方向,研报推荐,弱,弱,载体铜箔,验证,无,C,观察,未写入,,
