任务ID,股票代码,股票名称,所属方向,当日表现,核心逻辑浓缩,证据类型,舆情强度,情绪强度,兑现路径,验证点,负面触发,强度,状态分类,写入状态,写入时间,失败原因
ID-20260706-1,002050,三花智控,人形机器人,未提供,T链总成核心供应商，Tesla Optimus产线已搭建并进入爬坡阶段，7月目标周产100-200台；热管理+机电执行器双卡位,机构强call；产业链调研,强,强,订单/产能,特斯拉Q3量产验证,无,S,利好,未写入,,
ID-20260706-2,601689,拓普集团,人形机器人,未提供,T链总成/结构件核心供应商，Tesla Optimus产线已启动规模化量产爬坡，年底冲刺周产2000台,机构强call；产业链调研,强,强,订单/产能,特斯拉爬坡进度,无,S,利好,未写入,,
ID-20260706-3,603009,北特科技,人形机器人,未提供,T链丝杠核心标的，大小丝杠均已下订单，海外建厂进展顺利；中泰机械首推为T链首选,机构强call,强,强,订单/产能,丝杠订单交付,无,S,利好,未写入,,
ID-20260706-4,601100,恒立液压,人形机器人,未提供,T链丝杠核心供应商，主业液压件王者基因+机器人丝杠新业务，技术/生产/资金壁垒深厚,机构强call,强,强,订单/产能,丝杠量产验证,无,S,利好,未写入,,
ID-20260706-5,002850,科达利,人形机器人,未提供,T链谐波减速器+结构件双线布局，主业高增+低估值+机器人有实质进展（谐波减速器、物理AI）,机构强call；浙商新兴产业,强,强,订单/产能,谐波减速器送样进展,无,S,利好,未写入,,
ID-20260706-6,688279,峰岹科技,人形机器人,未提供,绑定T链T1（空心杯电机），主业受益AI高增，自研传感器深度布局机器人，近期客户端突破有望获订单提升ASP,机构强call,强,强,订单/客户,空心杯电机订单,无,S,利好,未写入,,
ID-20260706-7,300969,恒帅股份,人形机器人,未提供,T链机器人电机稀缺标的，手部型号已拿全、身体亦有突破，下半年泰国基地产能爬坡Q4规模供应T,机构强call,强,强,订单/产能,Q4对T规模供应验证,无,A,利好,未写入,,
ID-20260706-8,603119,浙江荣泰,人形机器人,未提供,T链丝杠标的，大小丝杠均下订单，海外建厂顺利推进,机构强call,中,强,订单/产能,丝杠订单交付,无,A,利好,未写入,,
ID-20260706-9,603728,鸣志电器,人形机器人,未提供,T链电机/驱动控制标的，国盛张一鸣推荐确定性标的之一,机构推荐,中,中,订单/客户,电机订单验证,无,B,观察,未写入,,
ID-20260706-10,688017,绿的谐波,人形机器人,未提供,与斯凯孚合资成立子公司，全球化布局再下一城；谐波减速器龙头，受益机器人量产潮,公告；机构点评,强,中,客户/产能,合资公司进展,无,A,利好,未写入,,
ID-20260706-11,301550,斯菱股份,人形机器人,未提供,T链确定性标的之一（国盛张一鸣推荐），受益特斯拉机器人量产爬坡,机构推荐,中,中,订单/产能,配套验证进展,无,B,观察,未写入,,
ID-20260706-12,300115,长盈精密,人形机器人,未提供,T链结构件（身体内部，更复杂），浙商新兴产业推荐格局已定核心环节标的,机构推荐,中,中,订单/产能,结构件送样验证,无,B,观察,未写入,,
ID-20260706-13,301525,儒竞科技,人形机器人,未提供,市值最小T链机器人标的（66亿），驱控产品单台价值量约1万，Q4对T规模供应；数据中心+国产链双驱,机构强call；方正家电,中,强,订单/客户,Q4规模供应验证,无,A,利好,未写入,,
ID-20260706-14,301119,正强股份,人形机器人,未提供,T链斯菱智驱关联标的，受益特斯拉机器人量产,机构推荐,弱,弱,映射,需验证直接配套关系,仅映射,C,观察,未写入,,
ID-20260706-15,603926,铁流股份,人形机器人,未提供,T链关联标的，受益特斯拉机器人产业链扩散,机构提及,弱,弱,映射,需验证配套关系,仅映射,C,观察,未写入,,
ID-20260706-16,301261,恒工精密,人形机器人,未提供,T链关联标的，叠加精密制造能力,机构提及,弱,弱,映射,需验证,仅映射,C,观察,未写入,,
ID-20260706-17,301529,福赛科技,人形机器人,未提供,T链+NV-波士顿动力双链标的，受益双线催化,机构推荐,中,中,客户,双链验证,无,B,观察,未写入,,
ID-20260706-18,603179,新泉股份,人形机器人,未提供,T链凯迪/内饰关联标的，受益机器人产业链扩散,机构提及,弱,弱,映射,需验证,仅映射,C,观察,未写入,,
ID-20260706-19,605288,凯迪股份,人形机器人,未提供,T链+NV链双线标的，NV-波士顿动力Atlas相关,机构提及,弱,弱,映射,需验证,仅映射,C,观察,未写入,,
ID-20260706-20,688386,泛亚微透,人形机器人,未提供,NV-波士顿动力链相关标的,机构提及,弱,弱,映射,需验证,仅映射,C,观察,未写入,,
ID-20260706-21,603897,长城科技,人形机器人,未提供,T链相关标的（国盛推荐）,机构提及,弱,弱,映射,需验证,仅映射,C,观察,未写入,,
ID-20260706-22,688322,奥比中光,人形机器人,未提供,机器人视觉国内唯一供应商，格局极好,机构推荐,中,中,客户/技术,视觉方案导入验证,无,B,观察,未写入,,
ID-20260706-23,301225,恒勃股份,人形机器人,未提供,机器人PEEK运动型功能件标的,机构推荐,弱,弱,产能,需验证供货进展,仅映射,C,观察,未写入,,
ID-20260706-24,605488,福莱新材,人形机器人,未提供,机器人电子皮肤标的,机构推荐,弱,弱,技术,需验证送样进展,仅映射,C,观察,未写入,,
ID-20260706-25,002931,锋龙股份,人形机器人,未提供,国内本体机器人标的,机构推荐,弱,弱,映射,需验证,仅映射,C,观察,未写入,,
ID-20260706-26,603211,晋拓股份,人形机器人,未提供,宇树产业链核心标的，唯一与宇树绑定成立合资公司，宇树IPO注册获批直接催化,机构强call；公告,强,强,IPO/订单,宇树IPO进展,无,A,利好,未写入,,
ID-20260706-27,603730,岱美股份,人形机器人,未提供,机器人电子皮肤格局未定环节弹性标的,机构推荐,弱,弱,技术,需验证送样,仅映射,C,观察,未写入,,
ID-20260706-28,301413,安培龙,人形机器人,未提供,机器人六维力传感器布局标的,机构推荐,弱,弱,技术,需验证送样,仅映射,C,观察,未写入,,
ID-20260706-29,002384,东山精密,人形机器人,未提供,国盛电子强call，珍惜回调机会；FPC/结构件能力可延伸至机器人,机构强call,中,中,映射,机器人业务实质进展,仅映射,B,观察,未写入,,
