股票代码,股票名称,所属方向,当日表现,核心逻辑浓缩,证据类型,舆情强度,情绪强度,兑现路径,验证点,负面触发,强度,状态分类
301308,江波龙,存储芯片,未提供,H1净利92-110亿同比增622-743倍，存储模组龙头业绩爆发，覆盖全球八大原厂,公告；业绩预告,强,强,业绩,H1最终数据；Q3订单持续性,无,S,利好
603986,兆易创新,存储芯片,未提供,NOR Flash全球第三，战略持股长鑫1.88%，全系列存储订单排至2027年,研报；公告,强,中,业绩；客户,长鑫上市进度；NOR Flash价格走势,无,A,利好
688008,澜起科技,存储芯片,未提供,DDR5内存接口芯片全球龙头，长鑫DRAM配套唯一国产接口芯片，AI服务器拉动需求,研报,中,中,订单；业绩,DDR5渗透率；AI服务器出货量,无,A,利好
002916,深南电路,存储芯片,未提供,高端封装基板龙头，存储板块订单锁定至2028年，长鑫核心配套供应商,研报,中,中,订单；产能,扩产进度；存储基板出货量,无,A,利好
600584,长电科技,存储芯片,未提供,全球第三封测龙头，存储封测订单锁定至2027年，配套长鑫晶圆封测,研报,中,中,订单；产能,存储封测营收占比；长鑫放量节奏,无,A,利好
002156,通富微电,存储芯片,未提供,国内少数具备HBM量产封装能力的内资厂商，存储相关在手订单约120亿元,研报,中,中,订单；产能,HBM封装良率；新订单落地,无,A,利好
001309,德明利,存储芯片,未提供,国产SSD主控芯片龙头，国内份额前三，订单排至2026年底,研报,中,弱,客户；订单,主控芯片出货量；大客户导入,无,B,利好
300475,香农芯创,存储芯片,未提供,佰维存储：长鑫第一大NAND采购客户，全品类存储订单排产至2027年,研报,中,中,订单；客户,长鑫上市；NAND价格走势,无,B,利好
000021,深科技,存储芯片,未提供,国内最大独立DRAM封测服务商，子公司沛顿承接长鑫60-70%委外封测订单,研报,中,弱,订单,封测产能利用率；订单持续性,无,B,利好
688525,佰维存储,存储芯片,未提供,长鑫第一大NAND采购客户，嵌入式存储龙头，全品类订单排至2027年,映射补全,中,中,订单；客户,长鑫上市；消费电子需求,无,B,观察
688041,海光信息,CPU国产替代,未提供,国产CPU龙头，Intel涨价打开国产替代窗口，深度受益算力CPU供需缺口,研报；行业新闻,强,中,政策；客户,Q3国产CPU导入进度；运营商招标,无,S,利好
603019,中科曙光,CPU国产替代,未提供,国产服务器龙头，CPU涨价传导整机成本上行，国产替代加速利好,研报；行业新闻,强,中,政策；业绩,国产服务器份额变化；Q3订单,无,A,利好
000977,浪潮信息,CPU国产替代,未提供,AI服务器龙头，Intel涨价直接推升整机成本，具备稳定供货渠道受益,研报；行业新闻,强,中,订单；业绩,AI服务器出货量；成本传导能力,无,A,利好
000034,神州数码,CPU国产替代,未提供,中标中国移动PC服务器集采13.41亿元，CPU涨价周期分销+整机双受益,公告；研报,中,中,订单；业绩,中标落地节奏；分销业务毛利率,无,A,利好
000066,中国长城,CPU国产替代,未提供,国产CPU/服务器双布局，Intel涨价加速政企客户国产替代节奏,研报,中,弱,政策；客户,飞腾CPU出货量；信创招标,无,B,利好
000938,紫光股份,CPU国产替代,未提供,服务器+交换机全栈布局，CPU涨价传导下具备供应链优势,研报,中,弱,订单；业绩,服务器出货量；交换机份额,无,B,利好
未提供,圣泉集团,CPU国产替代,未提供,CPU上游材料供应商，Intel涨价+国产替代双逻辑驱动,映射补全,弱,未体现,客户,国产CPU材料认证进度,无,C,观察
