股票代码,股票名称,所属方向,当日表现,核心逻辑浓缩,证据类型,舆情强度,情绪强度,兑现路径,验证点,负面触发,强度,状态分类
301308,江波龙,AI算力/存储,未提供,存储景气+自研芯片SPU+AMD联合调优端侧AI，半年净利92-110亿同比+62204%,公告；业绩预告,强,强,涨价/产能/业绩/端侧AI,次日资金认可度,无,S,利好
603618,杭电股份,涨价周期,未提供,光纤光缆量价齐升，半年净利3.6-4亿同比+852%-958%,公告；业绩预告,弱,弱,涨价/业绩/行业复苏,光纤价格持续性,无,B,利好
300821,东岳硅材,涨价周期,未提供,有机硅涨价+成本下降，半年净利4.24-4.44亿同比+905%-952%,公告；业绩预告,中,中,涨价/业绩,有机硅价格趋势,无,A,利好
002042,华孚时尚,涨价周期,未提供,棉花涨价+订单恢复但非经常损益主导净利润,公告；业绩预告,弱,未体现,涨价/业绩,扣非净利润持续性,无,C,利好
001287,中电港,AI算力/存储,未提供,存储器等核心产品价格持续上升，半年净利5-5.3亿同比+176%-193%,公告；业绩预告,中,中,涨价/业绩/AI需求,存储器价格趋势,无,A,利好
002938,鹏鼎控股,AI算力/存储,未提供,定增96亿投向AI服务器和高速光模块HDI项目新增65.56万平米产能,公告,中,弱,产能/事件/AI算力,定增方案审批进展,无,A,利好
002709,天赐材料,新能源,未提供,终止24.3万吨锂电项目行业产能过剩综合投资效益偏弱,公告,负面,退潮,无,无,与公告冲突,B,利空
301369,联动科技,其他,未提供,1000万美元收购存储ATE标的填补存储测试业务缺口,公告,弱,弱,收购/产能,收购整合进展,无,B,利好
600405,动力源,其他,未提供,控制权变更筹划中7月6日起停牌,公告,未体现,未体现,事件,控制权变更方案,无,C,观察
002074,国轩高科,其他,未提供,出售铜冠铜箔股票获投资收益8.29亿非经常性,公告,未体现,未体现,无,无,无,C,观察
603256,宏和科技,其他,未提供,二三大股东已减持875万股占总股本0.97%,公告,负面,未体现,无,无,减持,C,利空
300718,长盛轴承,机器人概念,20CM涨停,机器人收入占比不足1%20CM涨停后澄清题材证伪,公告；异动公告,强,强,无,无,低占比；未产品化,B,利空
301596,瑞迪智驱,机器人概念,20CM涨停,谐波减速机仅占收入8.44%20CM涨停后澄清,公告；异动公告,强,强,无,无,低占比,B,利空
600793,宜宾纸业,其他,3连板,TAC膜仅收38.2万预付款未签正式合同3连板后澄清,公告；风险提示,强,强,客户/事件,正式合同签订,仅送样,B,利空
603286,日盈电子,机器人概念,2连板,电子皮肤收入不足1万元2连板后澄清,公告；异动公告,负面,退潮,无,无,未产品化,B,利空
603135,中重科技,机器人概念,未提供,无人形机器人收入及研发无商业航天业务,公告；异动公告,负面,退潮,无,无,未产品化,B,利空
301529,福赛科技,机器人概念,未提供,机器人零部件未形成正式订单未实现收入利润,公告；异动公告,负面,退潮,无,无,未产品化；仅送样,B,利空
300853,申昊科技,AI算力/存储,未提供,拟不超20亿采购服务器转型算力租赁工业具身智能服务商战略,公告,中,弱,订单/事件,服务器采购落地,无,A,利好
688025,杰普特,其他,未提供,112万新元收购光连接公司拓展海外市场,公告,未体现,未体现,收购,收购整合,无,C,观察
002053,云南能投,新能源,未提供,中选100MW/400MWh全钒液流储能项目,公告,弱,未体现,事件/政策,项目备案审批,无,B,利好
300059,东方财富,其他,未提供,出资2亿参与云锋元创私募基金投向硬科技,公告,未体现,未体现,无,无,无,C,观察
603269,海鸥股份,其他,未提供,控股股东拟减持不超3%,公告,负面,未体现,无,无,减持,C,利空
688755,汉邦科技,其他,未提供,药明康德等股东拟减持不超3%,公告,负面,未体现,无,无,减持,C,利空
300014,亿纬锂能,其他,未提供,拟减持思摩尔国际不超3.5%优化资产结构,公告,负面,未体现,无,无,减持,C,利空
600084,*ST尼雅,其他,未提供,半年扭亏750-1090万同比+1017%-1523%拓展团购客户,公告；业绩预告,未体现,未体现,业绩/客户,扣非后持续盈利能力,无,C,观察
000060,中金岭南,涨价周期,未提供,主要产品金属价格同比上升半年净利10.5-12亿同比+88%-115%,公告；业绩预告,弱,弱,涨价/业绩,金属价格趋势,无,B,利好
000034,神州数码,AI算力/存储,未提供,中标国有大行华为智算服务器采购3.71亿,公告,中,弱,订单/事件,正式合同签署,无,A,利好
600458,时代新材,新能源,未提供,Q2签署30.34亿风电叶片合同含海上风电2.39亿,公告,中,中,订单/业绩,交付验收进度,无,A,利好
603097,江苏华辰,新能源,未提供,签订2.21亿储能变流升压一体机合同,公告,弱,弱,订单/业绩,合同执行进度,无,B,利好
300818,耐普矿机,其他,未提供,签订7600万哈萨克斯坦选矿设备出口合同,公告,未体现,未体现,订单,交付进度,无,C,观察
688621,阳光诺和,医药,未提供,定增2.4亿投向核酸药物平台建设,公告,未体现,未体现,事件,定增审批,无,C,观察
300199,翰宇药业,医药,未提供,司美格鲁肽注射液减重适应症上市申请获受理与三生蔓迪合作,公告,强,中,政策/事件,审批进展,无,A,利好
000661,长春高新,医药,未提供,子公司GenSci164注射液临床试验获批PTH1R激动剂,公告,未体现,未体现,事件,临床试验进展,无,C,观察
002428,云南锗业,其他,未提供,副总经理因工作调整辞职,公告,未体现,未体现,无,无,无,C,观察
