任务ID,股票代码,股票名称,所属方向,当日表现,核心逻辑浓缩,证据类型,舆情强度,情绪强度,兑现路径,验证点,负面触发,强度,状态分类,写入状态,写入时间,失败原因
ID-20260706-1,002850,科达利,人形机器人,热榜,T机器人谐波减速器核心供应商，主业锂电结构件全球龙头；技术+生产+资金+人才全面条件，T量产离不开,研报代表股；涨停事件,强,强,量产/订单,7月T产线爬坡后的订单确认,无,S,利好,未写入,,
ID-20260706-2,601100,恒立液压,人形机器人,热榜,T机器人丝杠核心供应商，主业液压件全球龙头；大小丝杠均下订单，海外建厂顺利，王者基因,研报代表股；涨停事件,强,强,量产/订单,T量产爬坡后丝杠订单量确认,无,S,利好,未写入,,
ID-20260706-3,300969,恒帅股份,人形机器人,热榜,T机器人手部电机型号拿全，身体亦有突破；微电机领域积累深厚，单机价值量高,研报代表股,中,强,量产/订单,手部电机批量供货进度,无,S,利好,未写入,,
ID-20260706-4,603009,北特科技,人形机器人,热榜,T机器人大小丝杠均下订单，海外建厂顺利推进；原做汽车精密零部件，丝杠环节壁垒高,研报代表股,强,强,量产/订单,海外建厂进度与订单交付,无,S,利好,未写入,,
ID-20260706-5,603119,浙江荣泰,人形机器人,热榜,T机器人大小丝杠均下订单，海外建厂顺利；原做汽车零部件精密制造，向机器人丝杠延伸,研报代表股,中,强,量产/订单,订单放量时点,无,A,利好,未写入,,
ID-20260706-6,688322,奥比中光,人形机器人,热榜,T机器人3D视觉传感器唯一国内供应商，格局极好；机器人视觉门槛高，替代性低,研报代表股,中,中,量产/订单,T量产带来的视觉模组订单,无,A,利好,未写入,,
ID-20260706-7,301225,恒勃股份,人形机器人,热榜,T机器人PEEK运动型功能件王者，材料轻量化+高强度是关键；原PEEK精密注塑深厚积累,研报代表股,弱,中,量产/订单,PEEK件在T量产中的用量确认,无,A,观察,未写入,,
ID-20260706-8,605488,福莱新材,人形机器人,热榜,T机器人电子皮肤核心供应商，机器人感知交互关键零部件；灵巧手对触觉反馈需求刚性,研报代表股,弱,中,量产/订单,电子皮肤批量订单落地,无,A,观察,未写入,,
ID-20260706-9,301525,儒竞科技,人形机器人,未提供,T机器人驱控单台价值量约1万元，Q4开始规模供应；66亿市值含21亿净现金，同类最小,研报代表股,弱,未体现,量产/订单,四季度对T规模供应是否兑现,无,B,观察,未写入,,
ID-20260706-10,603219,锋龙股份,人形机器人,未提供,国内机器人本体核心标的，受益国内机器人产业链向规模化量产演进,研报代表股,弱,未体现,事件/产品,国内本体订单进展,无,B,观察,未写入,,
